# From 24/9/2003 to 31/10/2003
# And 12:00 to 18:00
# Executed at Jul 13, 2011 8:08:26 AM
# Using 500x500
# Desired K: 30
# 
# Format: 
# 	Time start, Time end, Regions
# Region Format:
# 	unique users | reading count | area > <Next Region>
# 
# Total Region Count:
# ##################

1067013000000,1067014800000,449|2326|62500>0|0|62500>0|0|62500>0|0|62500
1067014800000,1067016600000,5|21|114583>225|1225|10417>103|706|62500>65|264|62500
1067016600000,1067018400000,17|44|14931>190|1120|110069>116|620|62500>66|214|62500
1067018400000,1067020200000,216|1204|55035>113|529|62500>89|311|62500>62|167|14931>0|0|55034
1067020200000,1067022000000,4|8|102732>196|1283|7337>106|507|62500>70|259|62500>51|135|14931
1067022000000,1067023800000,21|41|9538>211|1244|100531>92|477|62500>73|260|62500>46|137|14931
1067023800000,1067025600000,22|109|12081>185|1133|97988>100|350|62500>78|274|62500>53|187|14931
1067025600000,1067027400000,140|959|97988>84|466|62500>73|261|62500>50|144|12081>47|116|14931
1067027400000,1067029200000,155|1040|97988>96|452|62500>61|222|62500>59|230|12081>46|92|14931
1067029200000,1067031000000,28|59|15926>159|1125|96993>76|589|62500>70|236|62500>66|182|12081
1067031000000,1067032800000,145|803|96993>71|617|62500>67|196|62500>62|177|12081>49|318|15926
1067032800000,1067034600000,157|818|96993>80|361|62500>56|423|15926>51|176|12081>40|118|62500
1067099400000,1067101200000,126|675|96993>63|317|62500>41|123|12081>36|114|62500>35|103|15926
1067101200000,1067103000000,25|76|74581>105|728|96993>52|305|62500>35|141|15926
1067103000000,1067104800000,108|637|96993>80|206|74581>44|440|62500>36|130|15926
1067104800000,1067106600000,116|597|96993>57|388|62500>54|183|74581>34|224|15926
1067106600000,1067108400000,106|579|96993>70|191|74581>46|290|62500>36|286|15926
1067108400000,1067110200000,148|638|96993>62|171|74581>46|319|62500>35|189|15926
1067110200000,1067112000000,140|631|96993>88|231|74581>62|408|62500>36|137|15926
1067112000000,1067113800000,139|820|96993>88|180|74581>56|298|62500>52|154|15926
1067113800000,1067115600000,153|808|96993>96|256|74581>82|487|62500>45|257|15926
1067115600000,1067117400000,160|808|96993>74|246|74581>63|464|62500>45|162|15926
1067117400000,1067119200000,155|851|96993>95|276|74581>77|416|62500>45|316|15926
1067119200000,1067121000000,160|959|96993>92|224|74581>52|284|62500>40|367|15926
1067187600000,1067189400000,0|0|90507>1|1|159493
1067189400000,1067191200000,232|974|79747>137|466|90507>0|0|79746
1067191200000,1067193000000,173|819|79746>146|515|90507>84|377|79747
1067193000000,1067194800000,147|524|90507>140|704|79746>83|418|79747
1067194800000,1067196600000,171|706|79746>163|767|90507>101|507|79747
1067196600000,1067198400000,143|421|90507>136|839|79746>94|408|79747
1067198400000,1067200200000,159|507|90507>146|827|79746>82|407|79747
1067200200000,1067202000000,151|498|90507>127|631|79746>87|358|79747
1067202000000,1067203800000,165|810|79746>155|450|90507>88|362|79747
1067203800000,1067205600000,161|690|79746>154|440|90507>103|564|79747
1067205600000,1067207400000,180|441|45254>138|653|79746>81|266|79747>0|0|45253
1067207400000,1067209200000,7|24|79948>165|547|10559>155|773|79746>103|401|79747
1067209200000,1067211000000,159|863|79746>131|347|79948>87|454|79747>42|156|10559
1067275800000,1067277600000,214|630|39974>148|557|79747>129|668|79746>74|193|10559>0|0|39974
1067277600000,1067279400000,158|603|79747>152|429|39974>121|518|79746>71|165|10559>33|83|39974
